address,price,zipcode
825 Seventh Ave,NA,10019
4511 34th Ave,$52.80 USD,11101
4509 Broadway,NA,11103
992 5th Ave,$62.40 USD,10028
16 Court St,$55.00 USD,11241
161 6th Ave,NA,10013
49-02 Queens Blvd,$40.00 USD,11377
825 Seventh Ave,NA,10019
54 Thompson St,NA,10012
156 Bedford Ave,$166.00 - $166.67 USD,11249
42-07 Broadway,$93.33 USD,11103
356-362 Getty Ave,$9.50 USD,07011
724-730 Garrison Ave,$15.25 USD,10474
455 Jefferson St,NA,11237
433 Murray Hill Pky,$8.50 USD,07073
275 Seventh Ave,NA,10001
14 Wall St,NA,10005
199 Cook St,$37.50 - $51.43 USD,11206
1330 Avenue Of The Americas,NA,10019
375 Park Ave,NA,10152
31 Eastern Rd,NA,07032
173-268 Doremus Ave,NA,07105
145 E 57th St,NA,10022
17 State St,NA,10004
626 Sheepshead Bay Rd,NA,11224
78 John Miller Way,$18.00 - $20.00 USD,07032
41 E 11th St,$58.00 - $172.80 USD,10003
270 Madison Ave,NA,10016
114 W 47th St,NA,10036
485 Lexington Ave,NA,10017
1155 Avenue of the Americas,NA,10036
1185 Avenue of the Americas,NA,10036
590 Madison Ave,NA,10022
111 Town Square Pl,NA,07310
660 Kinderkamack Rd,$18.75 - $23.00 USD,07649
777 Terrace Ave,NA,07604
475 Market St,$21.50 USD,07407
580 Fifth Ave,NA,10036
90 Broad St,NA,10004
179 Morgan Ave,$22.00 USD,11237
695-697 Lorimer St,$34.20 - $59.05 USD,11211
489 Rockaway Ave,NA,11212
82 E Third St,$168.00 USD,10003
5130 Northern Blvd,NA,11377
28 Liberty St,$119.76 - $272.90 USD,10005
8 W 36th St,$45.00 USD,10018
12 E 44th St,$50.00 USD,10017
860 Washington St,NA,10014
115 Broadway,$29.41 - $49.41 USD,10006
1250 Newark Tpke,$8.00 USD,07032
75 Broad St,NA,10004
65 Porter Ave,NA,11237
90 Dayton Ave,$8.25 - $8.50 USD,07055
218 Route 17 N,NA,07662
30 E 60th St,$70.00 - $75.00 USD,10022
200 Metro Blvd,NA,07110
924 Westchester Ave,$28.00 USD,10459
145 E State Rt 4,$35.00 USD,07652
8425 5th Ave,$76.00 USD,11209
501 N State Rt 17,$39.00 USD,07652
66 N Route 17,$19.00 - $26.00 USD,07652
32-56 Steinway St,$42.00 USD,11103
140 58th St,$15.00 - $20.00 USD,11220
777 Third Ave,NA,10017
190-192 E 2nd St,$68.57 USD,10009
575 Fifth Ave,$70.00 - $95.00 USD,10017
34 34th St,NA,11232
241 37th St,NA,11232
34 35th St,NA,11232
264 W 40th St,$47.00 USD,10018
685 Washington St,$27.55 USD,10014
800 Third Ave,NA,10022
34 34th St,NA,11232
104-110 Greene St,NA,10012
210 Cook St,$23.00 USD,11206
55 W 46th St,NA,10036
1 Gateway Ctr,$33.00 USD,07102
30 Broad St,$54.00 - $144.00 USD,10004
100 Metro Blvd,NA,07110
220 E 42nd St,NA,10017
1214-1216 Broadway,$352.00 - $455.69 USD,10001
16 Waverly Ave,$28.00 USD,11205
257-277 Gold St,$36.00 USD,11201
155 W 23rd St,NA,10011
2718 Hoyt Ave S,$25.00 USD,11102
155 W 23rd St,NA,10011
100 Park Ave,NA,10017
810 Seventh Ave,NA,10019
521 Fifth Ave,NA,10175
680 Madison Ave,NA,10065
545 Washington Blvd,NA,07310
200 Carol Pl,NA,07074
410 Park Ave,NA,10022
1 Bryant Park,NA,10036
47-00 Northern Blvd,NA,11101
9435 Ridge Blvd,$25.00 USD,11209
315 Hudson St,$75.00 - $175.00 USD,10013
255 Greenwich St,NA,10007
250 Hudson St,$120.00 USD,10013
120 Broadway,NA,10271
50 E State Rt 4,$32.00 USD,07652
190 Moore St,$17.75 USD,07601
120 Broadway,NA,10271
461 Fifth Ave,NA,10017
228 E 45th St,NA,10017
4681 Metropolitan Ave,NA,11385
333 Greene Ave,$36.00 USD,11238
1115 Broadway,$66.00 USD,10010
3 Columbus Cir,NA,10019
300 Frank W Burr Blvd,$36.00 USD,07666
410 Park Ave,NA,10022
57 West St,NA,11222
56-02 Arnold Ave,NA,11378
30 E 60th St,NA,10022
3 Columbus Cir,NA,10019
410 Park Ave,NA,10022
1055 Bronx River Ave,NA,10472
1343 Webster Ave,$26.40 USD,10456
233 Broadway,NA,10279
145 Huguenot St,$24.50 USD,10801
650 Fifth Ave,NA,10019
140-150 Huguenot St,NA,10801
241 W 37th St,$43.00 - $48.00 USD,10018
90 Broad St,NA,10004
6 Empire Blvd,NA,07074
619 619 River Dr Dr,NA,07407
76-78 Wooster St,$48.00 - $68.40 USD,10012
30-30A 60th St,$19.50 USD,11377
60 Dickerson St,NA,07103
120 E 56th St,$65.00 USD,10022
80 Livingston St,NA,11201
37 W 47th St,$45.00 - $49.00 USD,10036
448-460 Kingsland Ave,NA,11222
600 Northern Blvd,NA,11021
13030 90th Ave,$13.20 USD,11418
33 Washington St,$21.00 - $30.00 USD,07102
400 Huyler St,NA,07606
15918-15926 Jamaica Ave,NA,11432
30 E 60th St,NA,10022
1345 Avenue of the Americas,NA,10105
45-47 W 27th St,NA,10001
53-61 W Pleasant Ave,NA,07607
