,address,lat,lng,price
0,4511 34th Ave,40.7628861,-73.9341094,52.80
1,992 5th Ave,40.77784525,-73.9627493972648,62.40
2,16 Court St,40.69358075,-73.9908266973035,55.00
3,49-02 Queens Blvd,40.74244085,-73.9158118269222,40.00
4,156 Bedford Ave,40.71872995,-73.9570004,166.67
5,42-07 Broadway,40.75821865,-73.9170083627852,93.33
6,724-730 Garrison Ave,40.620374,-74.138737,15.25
7,199 Cook St,40.7032745,-73.9349174,51.43
8,41 E 11th St,40.7331115,-73.9930959,172.80
9,475 Market St,42.7408057,-73.6928594,21.50
10,179 Morgan Ave,40.7103177,-73.933748423529,22.00
11,695-697 Lorimer St,40.701487,-73.951921,59.05
12,82 E Third St,42.8008132,-73.9625629,168.00
13,28 Liberty St,40.99662785,-72.2833934352233,272.90
14,8 W 36th St,40.7498558,-73.9844942207692,45.00
15,12 E 44th St,40.7542177,-73.9791652152929,50.00
16,115 Broadway,40.7090297,-74.0114731,49.41
17,90 Dayton Ave,40.984192,-72.170336,8.50
18,30 E 60th St,40.76367615,-73.970325863131,75.00
19,924 Westchester Ave,40.81806,-73.904999,28.00
20,8425 5th Ave,40.6220918,-74.0253540674487,76.00
21,32-56 Steinway St,40.75769,-73.9203818134854,42.00
22,140 58th St,40.6445242,-74.0225323510779,20.00
23,190-192 E 2nd St,40.7238868,-73.9878369,68.57
24,575 Fifth Ave,40.7563975,-73.9783665866995,95.00
25,264 W 40th St,40.75557605,-73.9903488369267,47.00
26,685 Washington St,40.7393804,-74.008051,27.55
27,210 Cook St,40.7031368,-73.9345703,23.00
28,1 Gateway Ctr,40.65289035,-73.871594545752,33.00
29,30 Broad St,40.7062033,-74.011905,144.00
30,1214-1216 Broadway,40.7491342,-73.9880483,455.69
31,16 Waverly Ave,40.69725195,-73.968942540463,28.00
32,2718 Hoyt Ave S,40.7704354,-73.9177485,25.00
33,9435 Ridge Blvd,40.6177821,-74.03669,25.00
34,315 Hudson St,40.7263874,-74.0076352,175.00
35,250 Hudson St,40.724854,-74.0075481,120.00
36,190 Moore St,40.571589,-74.141686,17.75
37,333 Greene Ave,40.72844525,-73.0829637157332,36.00
38,1115 Broadway,40.7429649,-73.9892949,66.00
39,1343 Webster Ave,40.8280006,-73.9121219,26.40
40,145 Huguenot St,40.9124793,-73.781127,24.50
41,241 W 37th St,40.753836,-73.990873914419,48.00
42,76-78 Wooster St,40.724166,-74.001127,68.40
43,30-30A 60th St,40.743453,-73.904303,19.50
