address,price,zipcode
17 State St,NA,10004
145 E 57th St,NA,10022
14 Wall St,NA,10005
275 Seventh Ave,NA,10001
One World Trade Center,NA,10007
54 Thompson St,NA,10012
161 Avenue of the Americas,NA,10013
590 Madison Ave,NA,10022
1185 Avenue of the Americas,NA,10036
1155 Avenue of the Americas,NA,10036
485 Lexington Ave,NA,10017
114 W 47th St,NA,10036
270 Madison Ave,NA,10016
41 E 11th St,$58.00 - $172.80,10003
385 Fifth Ave,$55.00,10016
45-47 W 27th St,NA,10001
1156 Avenue of the Americas,NA,10036
4 Times Sq,NA,10036
110 W 40th St,$70.00 - $75.00,10018
150 Broadway,NA,10038
45 W 45th St,NA,10036
45 W 45th St,NA,10036
225-235 E 64th St,NA,10065
50 West St,$95.00,10006
777 Third Ave,$63.00,10017
1441 Broadway,$54.00 - $96.00,10018
1115 Broadway,NA,10010
28 W 44th St,NA,10036
10 E 38th St,$45.00 - $49.00,10016
4 Bryant Park,$55.00 - $68.00,10036
115 E 23rd St,$58.00,10010
45-47 W 27th St,NA,10001
1345 Avenue of the Americas,NA,10105
30 E 60th St,$400.00,10022
37 W 47th St,$45.00 - $49.00,10036
120 E 56th St,$65.00,10022
199 Water St,$56.00 - $62.00,10038
76-78 Wooster St,$48.00 - $68.40,10012
90 Broad St,NA,10004
241 W 37th St,$42.00 - $48.00,10018
125 Park Ave,NA,10017
650 Fifth Ave,$75.00 - $90.00,10019
233 Broadway,NA,10279
410 Park Ave,$65.00,10022
3 Columbus Cir,NA,10019
30 E 60th St,NA,10022
3 Columbus Cir,NA,10019
1115 Broadway,$66.00,10010
461 Fifth Ave,NA,10017
120 Broadway,NA,10271
120 Broadway,NA,10271
250 Hudson St,$120.00,10013
255 Greenwich St,$60.00,10007
315 Hudson St,$75.00 - $175.00,10013
123-125 Orchard St,$144.00,10002
295 Madison Ave,NA,10017
1 Bryant Park,NA,10036
75 Broad St,NA,10004
680 Madison Ave,NA,10065
521 Fifth Ave,$65.00,10175
810 Seventh Ave,NA,10019
100 Park Ave,NA,10017
155 W 23rd St,$68.00 - $75.00,10011
155 W 23rd St,NA,10011
1214-1216 Broadway,$352.00 - $455.69,10001
220 E 42nd St,NA,10017
30 Broad St,$54.00 - $144.00,10004
712-714 Broadway,$185.00,10003
55 W 46th St,NA,10036
104-110 Greene St,NA,10012
800 Third Ave,NA,10022
685 Washington St,$27.55,10014
264 W 40th St,NA,10018
575 Fifth Ave,$70.00 - $95.00,10017
