address,price,zipcode
161 Avenue of the Americas,NA,10013
1155 Avenue of the Americas,NA,10036
30 E 60th St,$400.00,10022
90 Broad St,NA,10004
233 Broadway,NA,10279
123-125 Orchard St,$144.00,10002
75 Broad St,NA,10004
712-714 Broadway,$185.00,10003
190-192 E 2nd St,$68.57,10009
485 Madison Ave,$57.00 - $300.00,10022
50 West St,$95.00,10006
54 W 47th St,$56.00 - $65.00,10036
102 Bayard St,$85.00,10013
1380 First Ave,$127.50,10021
647 Broadway,$150.00,10012
126-134 Nagle Ave,$73.00,10040
151 E 80th St,$205.63,10075
418-420 Broadway,NA,10013
920 Third Ave,$225.00,10022
225 E 31st St,$77.40 - $116.10,10016
1385 Broadway,NA,10018
555 Eighth Ave,NA,10018
14 Penn Plaza,NA,10122
445 Park Ave,NA,10022
463 Seventh Ave,$52.00 - $350.00,10018
44 W 18th St,$208.33,10011
3 W 35th St,$400.00 - $600.00,10001
641 Avenue of the Americas,NA,10011
375 W Broadway,NA,10012
605 Madison Ave,$75.00 - $1,000,10022
1261-1281 Second Ave,NA,10065
110-112 W 27th St,$90.00,10001
465 Park Ave,NA,10022
46 Warren St,NA,10007
8 E 41st St,$60.00,10017
60-68 Gansevoort St,$550.00,10014
430-434 W Broadway,NA,10012
47 W 14th St,$48.00 - $120.00,10011
319 Bowery,NA,10003
550 Fifth Ave,NA,10036
118 W 14th St,$114.42,10011
69-75 W Houston St,NA,10012
1978 Third Ave,NA,10029
295 Greenwich St,NA,10007
543-549 Third Ave,NA,10016
229 Mott St,$120.00,10012
111 Central Park N,NA,10026
1951-1955 Adam C. Powell Jr Blvd,$57.00,10026
15 Gansevoort St,NA,10014
161 W 4th St,$134.29,10014
320 E 59th St,NA,10022
301 E 108th St,NA,10029
120-126 Christopher St,NA,10014
1125-1131 Madison Ave,$250.00,10028
230 E 14th St,$240.00,10003
888 7th Ave,$245.00 - $385.00,10106
79 Greene St,NA,10012
2541-2547 Broadway,$170.69,10025
232-234 Elizabeth St,$252.27,10012
195-199 Lafayette St,$300.00,10012
2176-2178 Amsterdam Ave,NA,10032
3361 Broadway,$91.76,10031
349 Avenue of the Americas,$165.00,10014
448 Amsterdam Ave,$171.43 - $188.57,10024
2500 Adam C Powell Blvd,$60.00,10039
3820-3826 Broadway,$111.43,10032
4101 Broadway,$90.00,10033
638 W 174th St,$90.00,10033
1019-1027 Lexington Ave,$225.56 - $255.32,10021
12 W 19th St,NA,10011
21-23 E 107th St,$70.00,10029
2200-2218 Broadway,NA,10024
178 W Houston St,$110.77,10014
102-104 Wooster St,NA,10012
541-555 Columbus Ave,NA,10024
709 Lexington Ave,$429.53,10022
271 Fifth Ave,NA,10016
508 E 12th St,$150.00,10009
152 Ninth Ave,NA,10011
2302-2304 Amsterdam Ave,$62.40,10033
30-66 St James Pl,$65.00,10038
250 Canal St,NA,10013
780 Madison Ave,$720.00,10065
279 E Tenth St,$149.85,10009
20 Clinton St,$102.86,10002
102 Forsyth St,$200.00,10002
60 W 57th St,$250.00,10019
371 Broadway,NA,10013
2162-2172 Third Ave,$53.61 - $66.49,10035
254-260 E 68th St,$200.00,10065
207 E 110th St,$30.00 - $45.00,10029
159 W 118th St,NA,10026
392 Bleecker St,$385.71,10014
532-536 W 145th St,$70.00,10031
428-430 E 75th St,$125.00,10021
159 E 116th St,NA,10029
2011 Third Ave,$30.00,10029
120 Spring St,$588.00,10012
177 E 117th St,$82.29,10035
176 Delancey St,NA,10002
256-258 W 109th St,$205.26,10025
251 E 77th St,$52.00 - $80.00,10075
200 E 62nd St,$120.00,10065
625 W 57th St,NA,10019
29 E 104th St,$84.00,10029
134 W 23rd St,$170.00,10011
146 W 47th St,$111.43,10036
174-176 Fifth Ave,NA,10010
188 Lafayette St,NA,10013
332 W 13th St,NA,10014
2012-2014 3rd Ave,$36.92,10029
126 E 7th St,$106.67,10009
171-173 Chrystie St,NA,10002
1277 Third Ave,$186.67,10021
462 W Broadway,NA,10012
13-17 Crosby St,NA,10013
821 Ninth Ave,NA,10019
2574 Adam Clayton Powell Jr Blvd,$45.41,10039
380-386 Broome St,$231.43,10013
1065 Madison Ave,NA,10028
1104-1110 Lexington Ave,NA,10075
20 W 22nd St,NA,10010
2037-2049 Broadway,NA,10023
118 Nagle Ave,$74.28,10040
2451-2459 Broadway,$213.27,10024
2699 Broadway,NA,10025
21 W End Ave,NA,10023
500 W 175th St,$35.05 - $84.83,10033
714 W 181st St,$102.27 - $141.45,10033
273 W 138th St,$70.60,10030
150 Allen St,$99.74,10002
381 Bleecker St,NA,10014
338-340 E 11th St,$120.00,10003
998 Columbus Ave,$59.06,10025
4280-4290 Broadway,$50.00 - $79.00,10033
378 Sixth Ave,$290.95,10011
1104-1116 Second Ave,$39.00 - $90.00,10022
3850-3858 Broadway,$110.00,10032
1143 1ST Ave,$144.00,10065
186-192 W 4th St,NA,10014
61 Sullivan St,$150.00,10012
575 West End Ave,$58.91 - $73.60,10024
344 E 59th St,$109.28,10022
1770 Madison Ave,NA,10035
137-141 Duane St,$97.53,10013
28 W 32nd St,$45.52,10001
396 E 10th St,NA,10009
118 Christopher St,NA,10014
111 Christopher St,$192.00,10014
425-437 W 125th St,$75.00,10027
452 W Broadway,NA,10012
49-55 W 47th St,$40.00,10036
124 E 116th St,NA,10029
831 W 181st St,$37.33,10033
225 W Broadway,NA,10013
1220-1224 Lexington Ave,NA,10028
1795 Lexington Ave,$33.00,10029
810 Second Ave,NA,10017
238 E 26th St,$56.00,10010
345-347 E 12th St,$204.00 - $213.33,10003
1165 2nd Ave,$140.00,10065
242 W 27th St,$53.00 - $100.00,10001
97-101 Reade St,NA,10013
43 Macdougal St,NA,10012
10-12 Park Ave,NA,10016
218-220 E 14th St,NA,10003
9 Christopher St,$189.68,10014
1118 Lexington Ave,NA,10075
36-38 Park Row,$125.00 - $200.00,10038
686 Lexington Ave,NA,10022
250 W 57th St,NA,10107
352-354 Lenox Ave,NA,10027
866-880 Riverside Dr,NA,10032
206-208 Rivington St,$76.50,10002
47 W 28th St,$55.00,10001
1053 Second Ave,$150.00,10022
2410-2418 Broadway,$200.00,10024
43-47 Avenue B,$130.00,10009
97 Nassau St,NA,10038
341-343 W Broadway,NA,10013
2338 Second Ave,$65.00,10035
455-457 W 43rd St,$72.00,10036
1100 Second Ave,NA,10022
1588 1/2-1596 Saint Nicholas Ave,NA,10040
1436 Lexington Ave,$94.61,10128
128 Second Ave,$168.46,10003
136-142 Hamilton Pl,$52.36 - $60.00,10031
770 Lexington Ave,NA,10065
355 Bleecker St,$385.00,10014
1650-1656 St Nicholas Ave,$58.67,10040
253 Bleecker St,$305.81,10014
254 W 23rd St,$122.40,10011
162 Orchard St,$96.00,10002
175-177 Orchard St,$98.40,10002
18-20 Delancey St,NA,10002
116 E 60th St,$86.21,10022
1270 Amsterdam Ave,$94.21,10027
750 8th Ave,$270.00 - $380.00,10036
230-240 Third Ave,NA,10003
218-222 W 57th St,NA,10019
215-221 W 145th St,$76.36,10039
210-220 W 145th St,$53.60,10039
772-786 Broadway,$145.00,10003
2139-2159 Broadway,NA,10023
2211 3rd Ave,NA,10035
307 Canal St,NA,10013
411 Bleecker St,$384.00,10014
348-358 W 47th St,$125.00,10036
412 Broadway,NA,10013
962 Madison Ave,NA,10021
857 Lexington Ave,NA,10065
162 W 13th St,$300.00,10011
240 Mulberry St,NA,10012
815 Second Ave,$110.00,10017
69 Clinton St,$175.39,10002
1246-1254 Madison Ave,$210.00,10128
400 E 54th St,NA,10022
1368 Lexington Ave,NA,10128
