,address,price,zipcode,lat,lng
0,270 Madison Avenue,,10016,40.7511837,-73.9806977
1,41 E 11th St,172.8,10003,40.7331115,-73.9930959
2,17 State St,,10004,40.7029001,-74.0139842543321
3,145 E 57th St,,10022,40.760953,-73.9684462812996
4,14 Wall St,,10005,40.70763365,-74.0107570034372
5,275 Seventh Avenue,,10011,42.7948248,-73.9554193
6,One World Trade Center,,10007,40.7130047,-74.0131864534352
7,54 Thompson St,,10012,40.7238733,-74.003353
8,590 Madison Avenue,,10022,40.76215745,-73.9730331430771
9,1185 Avenue of the Americas,,10036,40.7576227,-73.9823951
10,1155 Avenue of the Americas,,10036,40.75669735,-73.9832746913609
11,485 Lexington Avenue,,10017,40.75409625,-73.9736301440287
12,114 W 47th St,,10036,40.7581783,-73.9829836154512
13,71 W 47th St,48.0,10036,40.7578839,-73.9812222
14,133 E 58th St,75.0,10022,40.6519034,-73.9225153
15,30 E 60th St,70.0,10022,40.76367615,-73.970325863131
16,385 Fifth Avenue,55.0,10016,42.7976632,-73.9527343
17,47 W 27th St,,10001,40.7451607,-73.9901008
18,1156 Avenue of the Americas,,10036,40.7565749,-73.9825988
19,4 Times Sq,,10036,40.75604035,-73.9857229817594
20,110 W 40th St,75.0,10018,40.75370795,-73.9859648909137
21,150 Broadway,,10038,40.7092698,-74.0102677
22,45 W 45th St,,10036,40.75634505,-73.9811328511592
23,45 W 45th St,,10036,40.75634505,-73.9811328511592
24,225 E 64th St,,10065,40.7642016,-73.9626283
25,50 West St,95.0,10006,40.7077639,-74.0150151418802
26,777 Third Avenue,63.0,10017,42.8002283,-73.9523152
27,695 Avenue Of The Americas,,10010,40.7283051,-74.0028527
28,1441 Broadway,96.0,10018,40.7549036,-73.9868917
29,1115 Broadway,,10010,40.6940222,-73.9297378
30,90 Broad St,,10004,40.70379645,-74.011960789154
31,28 W 44th St,,10036,40.7553315,-73.9814989
32,10 E 38th St,49.0,10016,40.7709006,-73.9098041
33,1071 avenue of the americas,68.0,10036,40.7541303,-73.9850879277312
34,115 E 23rd St,58.0,10010,40.7400068,-73.9855301
35,45 W 27th St,,10001,40.7451365,-73.9900429
36,1345 Avenue of the Americas,,10105,40.7629997,-73.9790535048189
37,30 E 60th St,400.0,10022,40.76367615,-73.970325863131
38,37 W 47th St,49.0,10036,40.7432249,-73.9177213
39,120 E 56th St,65.0,10022,40.6256375,-73.9871378
40,199 Water St,62.0,10038,40.7065486,-74.0045351
41,78 Wooster St,68.4,10012,40.7269408,-73.9987932
42,90 Broad St,,10004,40.70379645,-74.011960789154
43,241 W 37th St,48.0,10018,40.753836,-73.990873914419
44,125 Park Avenue,,10017,40.7518176,-73.9773456
45,650 Fifth Avenue,90.0,10019,40.75974375,-73.9767801872465
46,233 Broadway,,10279,40.7124684,-74.0079294
47,410 Park Avenue,65.0,10022,40.7602791,-73.9722515419583
48,3 Columbus Cir,,10019,40.7668741,-73.9822587289973
49,30 E 60th St,,10022,40.76367615,-73.970325863131
50,3 Columbus Cir,,10019,40.7668741,-73.9822587289973
51,1115 Broadway,66.0,10010,40.6940222,-73.9297378
52,461 Fifth Avenue,,10017,40.75227165,-73.9813705091146
53,120 Broadway,,10271,40.7082035,-74.0105065267737
54,120 Broadway,,10271,40.7082035,-74.0105065267737
55,250 Hudson St,120.0,10013,40.724854,-74.0075481
56,255 Greenwich St,60.0,10007,40.7145279,-74.0112651
57,315 Hudson St,175.0,10013,40.7263874,-74.0076352
58,125 Orchard St,144.0,10002,40.7195486,-73.9896197
59,295 Madison Avenue,,10017,40.7517813,-73.9793366110454
60,75 Broad St,,10004,40.7047334,-74.0114054
61,680 Madison Avenue,,10065,40.7652144,-73.9704118
62,521 Fifth Avenue,65.0,10175,42.7976632,-73.9527343
63,810 Seventh Avenue,70.0,10019,40.76287095,-73.9825242131819
64,100 Park Avenue,,10017,40.75133845,-73.979000471903
65,155 W 23rd St,75.0,10011,40.7438607,-73.9946707
66,155 W 23rd St,,10011,40.7438607,-73.9946707
67,1214 Broadway,455.69,10001,40.7465181,-73.9880769
68,220 E 42nd St,,10017,40.7501297,-73.9733465
69,30 Broad St,144.0,10004,40.7062033,-74.011905
70,712 Broadway,185.0,10003,40.72876485,-73.9935371301077
71,55 W 46th St,,10036,40.7570109,-73.9809219
72,104 Greene St,,10012,40.73035,-73.994822
73,19 W 44th St,,10036,40.7553003,-73.9808892
74,800 Third Avenue,,10022,42.8002283,-73.9523152
75,685 Washington St,27.55,10014,41.025301,-73.9324009
76,264 W 40th St,,10018,40.75557605,-73.9903488369267
77,575 Fifth Avenue,95.0,10017,40.7563975,-73.9783665866995
78,192 E 2nd St,68.57,10009,40.616541,-73.973358
79,437 Madison Avenue,,10022,40.7573564,-73.9753769591062
80,777 Third Avenue,71.0,10017,42.8002283,-73.9523152
81,30 E 60th St,80.0,10022,40.76367615,-73.970325863131
82,75 Broad St,,10004,40.7047334,-74.0114054
83,632 Broadway,,10012,40.7261658,-73.995975
84,860 Washington St,,10014,40.74124895,-74.0076192292948
85,120 Broadway,,10271,40.7082035,-74.0105065267737
86,120 Broadway,,10271,40.7082035,-74.0105065267737
87,1350 Sixth Avenue,,10019,42.7965419,-73.9519965
88,24 State Street,56.0,10004,40.7033851,-74.0141188
89,675 Third Avenue,,10017,42.8002283,-73.9523152
90,420 Lexington Avenue,,10170,40.6882048,-73.9443976303818
91,55 Broad St,52.0,10004,40.7052834,-74.0110278640401
92,315 Madison Avenue,65.0,10017,40.79789665,-73.2533010005852
93,485 Madison Avenue,300.0,10022,40.75880805,-73.9744705952298
94,90 Broad St,,10004,40.70379645,-74.011960789154
95,415 Madison Avenue,55.0,10017,40.7566498,-73.9762469
96,733 Third Avenue,,10017,42.8002283,-73.9523152
97,286 Madison Avenue,,10017,40.7516877,-73.9803474
98,501 Fifth Avenue,65.0,10017,42.7976632,-73.9527343
99,560 Lexington Avenue,75.0,10022,40.6889672,-73.9377551546029
100,1 Whitehall St,55.0,10004,40.7038284,-74.0127779321612
101,215 Park Avenue S,,10003,40.7369182,-73.9885248
102,274 Madison Avenue,58.0,10016,40.7513152,-73.9806127417628
103,110 E 42nd St,65.0,10017,40.7531873,-73.9214903
104,880 Third Avenue,65.0,10022,40.75801845,-73.9695730545953
105,25 W 45th St,,10036,40.7560383,-73.980752
106,305 E 47th St,,10017,40.7527506,-73.969032
107,151 E 80th St,205.63,10075,40.7756319,-73.9581229
108,1120 Avenue of the Americas,,10036,40.7555256,-73.9833268
109,54 W 47th St,65.0,10036,40.7574905,-73.9808606
110,587 Fifth Avenue,,10017,42.7976632,-73.9527343
111,102 Bayard St,85.0,10013,40.7161999,-73.99969235
112,1380 First Avenue,127.5,10021,42.8021386,-73.9528461
113,137 Hudson St,79.8,10013,42.8336957,-73.9204316
114,342 W 37th St,51.69,10018,40.7572021,-73.9994854
115,647 Broadway,160.0,10012,40.72686305,-73.99588005
116,168 Canal St,,10013,40.7164748,-73.9972919
117,134 Nagle Avenue,73.0,10040,40.8634177,-73.9199903
118,36 W 44th St,62.0,10036,40.7554622,-73.9818081
119,38 W 21st St,,10010,40.74093555,-73.9926516486577
120,37 Union Sq W,383.72,10003,40.7370032,-73.9908463907585
121,325 W 38th St,49.71,10018,40.755447,-73.992683025
122,555 W 25th St,80.41,10001,40.75009995,-74.0053478403279
123,22 W 32nd St,48.0,10001,40.7475612,-73.9869147
124,420 Broadway,,10013,40.7195018,-74.0016041
125,388 W Broadway,,10012,40.7240248,-74.0026812047103
126,920 Third Avenue,225.0,10022,42.8002283,-73.9523152
127,121 Varick St,50.0,10013,40.7247568,-74.0061245
128,1361 Amsterdam Avenue,45.0,10027,40.8142146,-73.9554256
129,75 Murray St,,10007,40.71481965,-74.0105457018206
130,252 W 38th St,47.31,10018,40.75405575,-73.99066135
131,16 Beaver St,38.4,10004,40.7049052,-74.0125313
132,225 E 31st St,116.1,10016,40.6450702,-73.9478245
133,309 E 94th St,65.0,10128,40.65886515,-73.9213668
134,485 Broadway,500.0,10013,40.6293121,-74.1158661645022
135,22 E 65th St,100.8,10065,40.6089818,-73.9732546
136,115 E 57th St,206.0,10022,40.65322,-73.9234745475265
137,1515 Broadway,,10036,40.758063,-73.9862053
138,1133 Avenue of the Americas,,10036,40.7557394,-73.9837251
139,41 Madison Avenue,82.0,10010,40.7424976,-73.9863663
140,535 Fifth Avenue,67.0,10017,42.7976632,-73.9527343
141,641 Lexington Avenue,65.0,10022,40.758877,-73.9696440951276
142,530 Seventh Avenue,,10018,42.7948248,-73.9554193
