name,id,lat,lng,userscount,visitscount,checkinscount,tipcount,zipcode,
Szechuan Mountain House ‘ˆ‘±±Ó_,59e929c3d48ec136ca2a3650,40.728934,-73.988963,10,10,10,1,10003,
Hot Pot Village,59e7dc34f62e0902f02b3425,40.721296,-73.993465,3,3,3,0,10002,
Lan Zhou Handmade Noodle & Dumpling,59e7bfa8356b4970aea1be3f,40.715538,-73.996738,60,69,69,1,10013,
Taste Kitchen,59e392e4916bc141768f54f0,40.753601,-73.993487,1,1,1,0,10018,
Village Express Asian Cuisine,59dd3f41db2aeb3d9584f269,40.732298,-74.003341,2,2,2,0,10014,
Hwa Yuan,59d828f0916bc1155fde2c04,40.713615,-73.996044,20,20,18,2,10002,
China Jade Szechuan Chili House,59d807c8d48ec15e78a017f9,40.777426,-73.952332,8,8,8,3,10028,
Wok Chi,59d6cdb2123a190a700e4ab8,40.75298,-73.97749,4,4,4,0,10017,
The Tuo Fast Food,59d6adb558002c2cb1917f02,40.808412,-73.963144,1,1,1,0,10027,
Mr Bing,59d2ca40a2c00b1e9f6cd147,40.72701,-73.98365,34,40,40,2,10009,
Yumpling,59c151044b78c507e05447c9,40.76499087,-73.98223676,9,11,11,0,10019,
Nom Wah Tu,59bdbf214c9be611fb5eae24,40.715336,-73.991384,89,117,95,1,10002,
Lotus Blue,59b80f8125fb7b648e26cdda,40.735997,-73.991922,19,19,19,1,10003,
Mr Bing,59b6d84347f8761788c7a1e0,40.742998,-73.98874,9,9,9,0,10010,
Sushumai Asian Fusion,59b3605ff00a705ba43f4027,40.721129,-73.987353,0,0,0,0,10002,
Red Hot,59ac42570868a23a1e0fde8f,40.801466,-73.961428,6,6,6,0,10025,
Su Xi,59947d0a5c683858536941c8,40.70834,-74.014155,0,0,0,0,10006,
98 Flavor Taste,59752b56029a55583a226f8d,40.728827,-73.988109,5,5,5,0,10003,
Yuan Restaurant,5966b935b6eedb34a9117319,40.72964814,-73.98697918,323,359,210,7,10003,
Jing Fong,5966aacf061b516b02e056b2,40.78267617,-73.97877622,255,296,202,3,10024,
La Salle Dumpling Room,5960214035d3fc3e620ea646,40.772954,-73.989335,52,90,58,0,10023,
Dim Sum Palace,5953ea99f4b52556d6b64cc7,40.7625241,-73.97700765,171,197,126,4,10019,
Bao By Kaya @ Broadway Bites,593885b3a6ec98688a5a6252,40.748635,-73.988302,71,81,78,2,10001,
Mr Bing,592ef7cb2bf9a9463ec14d05,40.74895572,-73.98835461,30,30,30,0,10011,
Little Alley,592865d1286fda44e1f357f7,40.74732867,-73.97701152,471,603,339,5,10016,
Great Wall Chinese Restaurant,59210bbe12f0a95d08ae835b,40.81445,-73.940704,1,3,3,0,10037,
Jiangnan Chinese Cuisine,591d9063eacf4550665e3f18,40.70823052,-74.01391625,10,12,12,0,10006,
Nanjing,5909fb755f68b97039deda86,40.762626,-73.984948,30,32,30,0,10019,
Ma La Xiang Guo,590613293d47912d4bc2d3f4,40.802665,-73.967366,5,6,5,1,10025,
Xi'an Famous Foods,59035bc43d47912d4b97f3fc,40.74061039,-73.9872923,1041,1771,1049,13,10010,
108 Food- Dried Hot Pot,58fbdc8fe0755067a6dcf3ee,40.80295775,-73.96754896,207,331,183,8,10025,
Baron's Dim Sum,58fb77b6f62f2b14a7f0c409,40.725025,-73.98312,9,9,9,0,10009,
Kung Fu Kitchen,58f24fb30868a239e6757850,40.7614,-73.98698,48,54,53,0,10019,
Little Tong Noodle Shop,58d176db0b56560b9cad4cef,40.72942655,-73.98411111,994,1188,529,21,10003,
Mr Bing,58c7333b1e1de5102e3ff7e3,40.75442784,-73.97696347,91,134,134,7,,
New Wong Asian Food,58c6bc42d32b4460baf4d9fa,40.763771,-73.958837,8,9,9,0,10065,
Asian 83,58c592db9398ab19f33b25ca,40.77612,-73.953094,4,4,4,0,10028,
Jasmine Restaurant,58b455dc8cfe547321f5483f,40.75487499,-73.97047078,273,331,172,2,10017,
Pinch Chinese,58a4fb9d30ecc618cdd5c3e2,40.7264,-74.001813,1213,1592,943,19,10012,
Excellent Dumpling House,5898c42832b07235680f373c,40.74403108,-73.99516009,1033,1360,675,11,10011,
Xi'an Famous Foods,5894c9a15e56b417cf79e553,40.71526004,-73.99724173,830,1080,566,8,10013,
Ming Kee Kitchen Inc,5888cfef297c166c81a8a04b,40.718488,-73.994585,70,199,109,0,10002,
New Dragon,587f814824ca6a66496463f1,40.8020506,-73.934461,1,1,1,0,10035,
La Chine,587cff1865e7c7514cb5eab1,40.76177221,-73.96532536,4,4,4,0,10022,
Chen's Express Kitchen,5873a0ef9c439d43ab832155,40.73308,-73.98610711,0,0,0,0,10003,
Clay Pot,58712f5a16f00013113d428f,40.72814012,-73.98696756,0,0,0,2,10003,
The Rice Noodle Ñ__š‘¥_,586d8c0b88641b556fd1f7b3,40.72930324,-74.00144028,140,184,169,3,10012,
The Bao Shoppe,585eca8b3e88355679a33afc,40.71447773,-73.99054725,354,479,260,3,10002,
Tri Dim Shanghai,5858668cfc5a5f705fd3415e,40.77391593,-73.95784467,89,122,100,2,10075,
Chen's Buffet Bar,5851831bfad9dc11232fcb6f,40.706983,-74.008412,27,55,53,0,10005,
Mingy Rose,5849b9a7d25ded7db606af98,40.77957872,-73.95012796,0,0,0,0,10128,
Szechuan & Beyond,5841b0267220e63396cb6cea,40.708866,-74.00919,6,6,6,0,10005,
Lan Zhou Ramen 107,58389efb8f0be46bca889667,40.713781,-73.992902,100,117,74,2,10002,
Jef Chinese,5836016200841a1ae3ed8189,40.754043,-73.969371,16,23,22,1,10017,
Tim Ho Wan _ˆ_‘‚__Ê,582e1f3103cf25316689c7d7,40.73120686,-73.9903214,4442,5781,3442,84,10003,
Shorty Tang Noodles,582a4088da08cb6d478ce53a,40.74026916,-74.0021263,730,884,443,14,10011,
Chaan Teng,58267d7eb4f96246b74368b5,40.76218297,-73.98984588,711,865,379,3,10036,
Chinese Tuxedo,582543c1b39f9613c18d8e2f,40.71443016,-73.99798365,818,930,799,25,10013,
Profit  Chinese Restaurant II,5812daa738fa2403db6161c7,40.745651,-73.975576,39,119,92,0,10016,
Panda Express,5800f6fe38faa8d30d961a70,40.750266,-73.99475638,211,338,288,1,10001,
Pho Love,57fff0dd38fa20b181502906,40.73038083,-73.98611784,0,0,0,0,10003,
Carma East,57fd6f4c38fac31645a0b272,40.72527716,-73.98352595,484,577,296,6,10009,
Junzi Kitchen,57f5241d498e3b45c81d6194,40.80593913,-73.9654221,259,441,235,12,10025,
chen's kitchen,57ef2c57498e8000d8f06479,40.865047,-73.927103,10,21,16,0,10040,
Wok Chi - Stir Fry Kitchen,57e959b8cd1065372b1b68ad,40.75913059,-73.96830701,171,279,183,4,10022,
Hot Pot Central,57e1c7eb498eea6013b0e451,40.73100282,-73.98593533,159,184,171,5,10003,
Lan Sheng Szechuan Restaurant _‘_Š‘__,57dddade498eaf06318e5a86,40.75168933,-73.98815637,486,706,286,4,10018,
Nom Wah Nolita,57dd91ce498e08473d3cc30c,40.72042694,-73.99433032,1912,2543,1279,31,10012,
Lava Kitchen,57dd6c3ccd102f97e9a29636,40.7975967,-73.9692401,78,108,78,4,10025,
Xi'an Famous Foods,57d1efb5498e018d15de8ba3,40.7619432,-73.97745613,2003,3219,1572,15,10019,
C Bao,57bf1d29498e692c4d8c41d9,40.71376782,-73.99932125,373,514,152,6,10013,
Panda Express,57bdfbb4498e68c4b71697da,40.76101713,-73.9908309,562,981,646,7,10036,
336 East_‚____µ,57b8de9f498e486944e25d85,40.73421817,-73.98140788,0,0,0,0,10003,
Tipsy Shanghai,57902901498eb57b8ea7b419,40.70832397,-74.01429482,206,239,193,5,10006,
Great Sichuan,577e8f25498e8dfabe535a7f,40.741004,-73.981372,49,94,92,2,10016,
Healthy Corner Chinese Food Cart,5772bb62498e562ece7193c8,40.8081489,-73.96287183,5,7,7,0,10027,
