,Unnamed: 0,userId,venueId,venueCategoryId,venueCategory,latitude,longitude,neighborhood_id,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count
0,0,470,49bbd6c0f964a520f4531fe3,4bf58dd8d48988d127951735,Arts & Crafts Store,40.71981038,-74.00258103,220,1,0.980392157,0.888888889,0.408536585,0.769178547,0.017177141,0,0.632653061
3,3,395,4bc7086715a7ef3bef9878da,4bf58dd8d48988d104941735,Medical Center,40.7451638,-73.98251878,264,1,0.921568627,0.777777778,0.213700457,0.824185771,0.065094558,0.4,0.459183673
4,4,87,4cf2c5321d18a143951b5cec,4bf58dd8d48988d1cb941735,Food Truck,40.74010383,-73.98965836,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
6,6,642,4ab966c3f964a5203c7f20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.75159143,-73.9741214,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
7,7,292,4d0cc47f903d37041864bf55,4bf58dd8d48988d12b951735,Bus Station,40.77942173,-73.95534113,261,1,0.843137255,0.777777778,0.187901155,0.886852229,0.073640797,0.368421053,0.163265306
10,10,87,4d8263a73e916dcb8edd80d2,4bf58dd8d48988d155941735,Gastropub,40.74348254,-73.994009,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
11,11,625,4ab5320cf964a5202b7320e3,4bf58dd8d48988d122951735,Electronics Store,40.74260751,-73.99270535,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
13,13,116,4c0ab56f7e3fc9288c1df482,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop,40.74119055,-73.9896631,75,1,0.980392157,0.755555556,0.185060976,0.655179693,0.035680561,0.2,0.867346939
14,14,931,49f85763f964a520f16c1fe3,4bf58dd8d48988d16d941735,Café,40.7045885,-74.00963933,29,1,0.960784314,0.688888889,0.122408537,0.77762502,0.032687045,0.4,0.806122449
16,16,445,4b9830a5f964a520c73235e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.82678954,-73.94950924,13,1,0.941176471,0.793650794,0.030270035,0.923604946,0.026745755,0.6,0.204081633
17,17,135,4a689777f964a520a0ca1fe3,4bf58dd8d48988d1c4941735,Restaurant,40.75527488,-73.97880614,62,1,0.882352941,0.675213675,0.294910882,0.754960405,0.055866032,0.353846154,0.520408163
