,Unnamed: 0,Unnamed: 0.1,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count,competitors_rank,half-mile_sub_count_rank,rent_rank,price_rank,unsupervised_score_rank,review_count_rank,rating_rank,S1,S1_rank,S2,S2_rank,S3,S3_rank,S4,S4_rank
0,2,2,2,40.774801871056106,-73.95932495092408,1,0.9803921568627452,0.7666666666666667,0.3303353658536585,0.715101087952897,0.033941417619591456,0.24,0.22448979591836726,16,30,22,32,42,43,43,0.5084877484789877,43,0.4697954419356321,22,0.382624637072424,22,0.6553637613582018,16
1,6,6,6,40.724874282038094,-73.99524316428571,1,0.9607843137254902,0.8333333333333333,0.3774771341463415,0.6257865618009555,0.058374649291716436,0.09999999999999998,0.4387755102040816,28,43,23,33,34,10,45,0.5490885837503198,8,0.5322810360025185,8,0.4374997586603581,8,0.6691307239359159,15
2,13,13,13,40.82126371859757,-73.9535712372561,1,0.9411764705882352,0.7936507936507937,0.030270034843205576,0.9236049460082044,0.026745755156792086,0.6,0.2040816326530612,9,26,28,2,33,21,25,0.48658827215004863,10,0.5638432893306328,28,0.4564237824958647,26,0.48572325271572037,43
3,15,15,15,40.756320492183335,-73.98380735963333,1,0.9411764705882352,0.7654320987654321,0.33553523035230354,0.7459864282861478,0.034413025023834844,0.37777777777777777,1.0,39,8,9,18,21,35,10,0.6370905421693256,11,0.8729932141430738,26,0.705277176319226,28,0.6383558504702693,3
4,29,29,29,40.70619497599415,-74.01240029675441,1,0.9607843137254902,0.6888888888888889,0.12240853658536585,0.7776250199500884,0.03268704538793353,0.3999999999999999,0.8061224489795917,37,35,8,13,24,34,24,0.5647527089195598,17,0.7918737344648401,23,0.6400363966494588,23,0.541596425155428,10
5,31,31,31,40.74038520813449,-74.00512403388285,1,1.0,0.7333333333333333,0.2079268292682927,0.7833534804775892,0.07751759340920829,0.3599999999999999,0.4183673469387755,38,34,18,30,25,3,7,0.5367497639045331,25,0.6008604137081823,11,0.4961918496483876,11,0.6039634146341464,35
6,38,38,38,40.778031931401614,-73.98050073466307,1,0.9215686274509804,0.6666666666666666,0.2939024390243903,0.6280281534864006,0.06799169811969169,0.2,0.19387755102040816,12,25,44,7,3,42,12,0.46200585596142296,7,0.4109528522534044,7,0.34236062142666185,29,0.6077355332376854,17
7,40,40,40,40.72271758869748,-73.98169191936975,1,0.9607843137254902,0.8271604938271605,0.0926490514905149,0.5577229750787199,0.09040089261868224,0.42222222222222217,0.08163265306122447,14,15,46,1,19,15,11,0.435058396633632,15,0.3196778140699722,29,0.2738224297797142,7,0.5267166826080025,21
8,47,47,47,40.74886667614601,-73.98527413599321,1,0.8235294117647058,0.7777777777777777,0.4311737804878049,0.5359318863998819,0.06987140981469718,0.29999999999999993,0.9693877551020408,7,11,2,14,29,20,5,0.6012786702244847,30,0.7526598207509614,30,0.6161021385637084,30,0.6273515961262554,20
9,51,51,51,40.865997964514285,-73.92325055765714,1,0.9803921568627452,0.6111111111111109,0.006097560975609756,0.7719637230838852,0.08259034040864628,0.8,0.22448979591836726,31,27,7,44,30,19,31,0.44610744806006075,26,0.4982267595011262,47,0.4150994756826302,47,0.49324485891917746,34
10,56,56,56,40.79517800197044,-73.96933872039409,1,0.9411764705882352,0.6888888888888889,0.19870426829268287,0.6512379526636133,0.047684269534560425,0.34,0.1530612244897959,44,19,29,41,31,17,19,0.4467921790762961,29,0.4021495885767046,17,0.3312565247682758,1,0.569940369440459,39
11,62,62,62,40.75282196031579,-73.97564023706767,1,0.8823529411764706,0.6752136752136751,0.2949108818011257,0.7549604054545487,0.055866031504165435,0.3538461538461538,0.520408163265306,40,39,11,9,14,8,21,0.5306186830692152,47,0.6376842843599273,43,0.521320633788775,17,0.5886319114887981,42
12,75,75,75,40.742774499420854,-73.99123991158301,1,0.9803921568627452,0.7555555555555555,0.18506097560975607,0.6551796929763106,0.03568056090859818,0.2,0.8673469387755102,18,21,13,38,5,47,30,0.5798693134480792,23,0.7612633158759103,1,0.6161467648824479,43,0.5827265662362506,31
13,81,81,81,40.759015718476185,-73.99074157780953,1,0.9019607843137256,0.7301587301587301,0.5282012195121951,0.8544081769410417,0.030092348770219383,0.25714285714285723,0.7244897959183673,15,29,26,36,1,24,37,0.6282185092690464,21,0.7894489864297045,34,0.6375776588978075,34,0.7150810019129603,47
