Age,10001 Female,10001 Male,10002 Female,10002 Male,10003 Female,10003 Male,10004 Female,10004 Male,10005 Female,10005 Male,10006 Female,10006 Male,10007 Female,10007 Male,10009 Female,10009 Male,10010 Female,10010 Male,10011 Female,10011 Male,10012 Female,10012 Male,10013 Female,10013 Male,10014 Female,10014 Male,10016 Female,10016 Male,10017 Female,10017 Male,10018 Female,10018 Male,10019 Female,10019 Male,10020 Female,10020 Male,10021 Female,10021 Male,10022 Female,10022 Male,10023 Female,10023 Male,10024 Female,10024 Male,10025 Female,10025 Male,10026 Female,10026 Male,10027 Female,10027 Male,10028 Female,10028 Male,10029 Female,10029 Male,10030 Female,10030 Male,10031 Female,10031 Male,10032 Female,10032 Male,10033 Female,10033 Male,10034 Female,10034 Male,10035 Female,10035 Male,10036 Female,10036 Male,10037 Female,10037 Male,10038 Female,10038 Male,10039 Female,10039 Male,10040 Female,10040 Male,10044 Female,10044 Male,10065 Female,10065 Male,10069 Female,10069 Male,10075 Female,10075 Male,10103 Female,10103 Male,10110 Female,10110 Male,10111 Female,10111 Male,10112 Female,10112 Male,10115 Female,10115 Male,10119 Female,10119 Male,10128 Female,10128 Male,10152 Female,10152 Male,10153 Female,10153 Male,10154 Female,10154 Male,10162 Female,10162 Male,10165 Female,10165 Male,10167 Female,10167 Male,10168 Female,10168 Male,10169 Female,10169 Male,10170 Female,10170 Male,10171 Female,10171 Male,10172 Female,10172 Male,10173 Female,10173 Male,10174 Female,10174 Male,10177 Female,10177 Male,10199 Female,10199 Male,10271 Female,10271 Male,10278 Female,10278 Male,10279 Female,10279 Male,10280 Female,10280 Male,10282 Female,10282 Male,10463 Part Female,10463 Part Male
0,54,86,334,386,184,188,27,41,52,42,14,11,74,87,234,231,142,141,245,241,100,100,136,167,150,138,244,226,64,71,19,12,213,250,0,0,286,322,145,133,420,407,371,420,499,514,216,217,354,355,231,241,464,464,167,181,312,334,291,349,343,342,271,293,220,199,75,75,81,91,85,95,184,168,260,302,78,87,259,237,63,53,145,134,0,0,0,0,0,0,0,0,0,0,0,0,342,380,0,0,0,0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,78,93,89,46,53
1,67,74,324,390,148,143,16,27,29,16,10,10,75,60,238,233,93,133,186,205,87,95,173,166,95,123,199,216,48,60,22,18,206,166,0,0,238,234,141,145,330,389,361,391,438,478,212,203,329,333,195,218,451,511,197,173,321,321,294,312,310,330,214,243,199,213,54,72,101,94,72,69,150,167,251,234,65,69,187,186,55,57,127,149,0,0,0,0,0,0,0,0,0,0,0,0,305,351,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,66,86,71,55,64
2,51,47,351,363,151,141,19,16,25,24,11,9,72,61,184,208,89,90,167,168,64,93,167,144,94,105,170,168,52,50,9,12,148,134,0,0,220,263,133,116,328,347,308,360,463,435,225,203,320,291,224,208,419,471,155,169,285,286,309,312,274,329,215,223,184,204,69,80,94,89,76,84,167,175,226,251,49,65,161,166,48,35,125,114,0,0,0,0,0,0,0,0,0,0,0,0,284,312,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,62,64,76,51,66
3,65,62,354,396,119,109,22,10,20,21,2,4,52,60,184,188,101,89,154,162,80,69,145,148,81,80,128,158,42,31,8,6,103,114,0,0,187,192,102,117,271,304,332,344,449,427,189,179,323,281,217,188,421,448,191,169,303,304,261,321,278,274,203,240,175,229,56,68,93,77,58,81,152,171,250,236,46,50,154,161,36,50,113,116,0,0,0,0,0,0,0,0,0,0,0,0,304,300,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,47,57,54,49
4,51,67,350,372,114,108,7,17,10,12,7,5,55,51,193,202,82,81,133,143,60,63,160,147,94,87,118,119,34,54,7,9,91,111,0,0,157,219,110,85,253,264,306,312,377,378,208,160,308,279,204,237,390,468,165,170,279,308,266,287,265,257,218,211,222,218,41,44,92,73,60,75,146,175,225,234,52,41,130,154,35,44,125,128,0,0,0,0,0,0,0,0,0,0,1,0,270,242,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,39,44,55,45,43
5,36,49,348,404,104,103,8,15,8,8,1,6,45,43,179,203,81,69,118,137,70,57,118,154,77,100,99,127,31,28,9,10,85,60,0,0,155,210,78,106,248,253,314,258,372,416,192,179,270,289,193,196,425,405,158,196,255,312,262,269,253,246,188,225,196,194,45,57,87,80,58,61,169,179,241,217,53,50,107,134,38,36,120,121,0,0,0,0,0,0,0,0,0,0,0,0,240,284,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,39,31,23,57,52
6,58,53,388,375,81,112,8,11,15,13,3,4,49,36,193,190,60,75,132,130,47,60,120,138,90,86,108,98,26,35,13,4,80,88,0,0,152,160,96,64,188,241,286,334,322,357,190,189,291,272,185,210,438,467,150,164,256,279,299,268,245,286,218,208,183,214,48,50,64,94,39,76,152,196,236,208,46,25,87,109,30,31,107,124,0,0,0,0,0,0,0,0,0,0,0,0,254,235,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,29,23,53,49
7,52,47,390,341,94,80,11,11,4,8,6,1,27,36,197,184,74,56,138,130,60,55,115,124,76,69,107,90,22,30,14,6,81,77,0,0,145,160,89,74,204,207,224,281,356,383,205,208,284,287,200,183,454,438,168,160,290,304,277,293,228,236,182,211,197,209,37,43,83,79,65,54,160,176,199,184,45,44,94,110,23,21,90,113,0,0,0,0,0,0,0,0,0,0,0,0,255,271,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,19,28,51,61
8,35,53,346,333,80,86,11,12,9,5,1,1,14,34,174,210,58,57,102,102,44,41,98,92,96,49,90,73,21,16,9,15,66,80,0,0,130,133,66,69,164,165,239,228,370,355,181,217,280,299,192,163,447,461,146,157,248,285,264,296,252,258,211,187,184,214,40,40,78,93,56,43,165,153,215,177,46,36,96,110,13,20,98,108,0,0,0,0,0,0,0,0,0,0,0,1,217,213,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,28,16,52,45
9,37,38,369,369,75,87,6,8,5,9,2,2,26,17,188,187,68,47,89,95,59,52,115,108,66,67,80,68,24,16,13,4,71,71,0,0,159,145,65,58,155,184,217,203,369,346,195,182,284,300,159,166,462,498,150,148,300,312,259,253,269,273,202,199,184,161,43,42,83,88,53,62,178,169,245,202,54,40,89,91,20,18,85,94,0,0,0,0,0,0,0,0,0,0,0,0,220,241,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,16,20,55,56
