name,price,rating,zip code,latitude,longitude,review count
Dim Sum Palace,$$,4.0,10036,40.76015,-73.9893699,493
Wah Fung No 1,$,4.5,10002,40.71735,-73.99457,819
Tasty Garden,$,5.0,10009,40.72485,-73.98306,16
Peng's Noodle Folk,$$,4.5,10028,40.77726,-73.94932,174
Zest Szechuan,$$,4.0,10018,40.75274,-73.98445,240
Tuome,$$$,4.5,10009,40.72412482724,-73.9828906263924,290
Shu Jiao Fu Zhou Cuisine Restaurant,$,4.5,10002,40.7184290357839,-73.9916928979573,387
China Jade,$$,4.5,10028,40.77747,-73.95239,19
China Xiang,$$,4.0,10036,40.7582902125633,-73.9925113993899,235
Han Dynasty,$$,4.0,10024,40.78752,-73.97647,339
Han Dynasty,$$,4.0,10003,40.732072,-73.988074,904
Xi'an Famous Foods,$,4.0,10075,40.77197,-73.95452,344
Café China,$$,4.0,10016,40.7499225208569,-73.9819464127197,867
Xi'an Famous Foods,$,4.0,10036,40.75574,-73.98085,1169
Szechuan Garden,$$,4.0,10025,40.8003719688892,-73.9676491308602,159
Jasmine Restaurant,$$,4.0,10017,40.75467,-73.97057,104
Tri Dim Shanghai,$$,4.0,10075,40.77395,-73.95793,86
Auntie Guan's Kitchen 108,$$,4.0,10011,40.7377213477598,-73.9974148512518,234
Excellent Dumpling House,$$,4.0,10011,40.7440494396358,-73.995028194335,222
Xi'an Famous Foods,$,4.0,10016,40.747844,-73.983901,440
La Salle Dumpling Room,$$,4.0,10023,40.7731596,-73.98951,36
Chaan Teng,$$,4.0,10036,40.7622036680455,-73.9898682385683,108
Burp Bowl Cafe,$,4.5,10010,40.74183,-73.98271,104
Shanghai,$,4.0,10021,40.768291,-73.958381,57
Radiance Tea House and Books,$$,4.0,10019,40.7639799,-73.98065,748
Joe's Shanghai,$$,4.0,10013,40.7146691442891,-73.9977602206654,4596
Xi'an Famous Foods,$$,4.0,10019,40.7620964050293,-73.9773178100586,195
Buddakan,$$$,4.0,10011,40.7422275387194,-74.0047066478157,3216
Noodle Fun,$$,4.0,10128,40.7795333862305,-73.9470367431641,100
China Blue,$$,4.0,10013,40.724081417449,-74.0098607540131,389
Very Fresh Noodles,$$,4.0,10011,40.7423387008486,-74.0061374945942,289
Xi'an Famous Foods,$,4.0,10003,40.72782,-73.98551,1394
Asura Asian Bistro,$$,4.0,10001,40.7522492,-73.991222,248
Pig Heaven,$$,4.0,10028,40.775433,-73.956856,177
Hunan Bistro,$$,4.0,10003,40.73234,-73.9881,144
MáLà Project,$$,4.0,10009,40.72713,-73.98542,298
Decoy,$$$,4.0,10014,40.734196,-74.006519,245
Fishmarket Restaurant,$$,4.5,10038,40.70717,-74.00192,380
Joe's Shanghai,$$,3.5,10019,40.7627694517048,-73.9759005803566,1158
Lam Zhou Handmade Noodle & Dumpling,$,4.0,10013,40.71556,-73.99692,1168
Uncle Ted's Modern Chinese Cuisine,$$,4.0,10012,40.72882,-73.999961,345
Niu Noodle House,$$,4.0,10014,40.734352,-74.000082,524
Flor De Mayo,$$,4.0,10024,40.7860908508301,-73.9765853881836,983
Dim Sum Palace,$$,4.0,10019,40.76259,-73.97681,66
Chop Shop II,$$,4.0,10010,40.7433280944824,-73.9911651611328,150
Shanghai Asian Manor,$$,4.0,10013,40.71441,-73.99902,1152
Ding Szechuan and Hot Pot Restaurant,$$,3.5,10036,40.7605285644531,-73.9863891601562,118
The Bao,$$,3.5,10003,40.72939,-73.988912,838
Yummy City,$,4.5,10029,40.7879244458184,-73.948986355818,21
Fu Xing,$,4.0,10018,40.754589387013,-73.9912518276348,33
Bugis Street Brasserie & Bar,$$,5.0,10036,40.7567689,-73.9843329,8
Spice Symphony,$$,4.0,10016,40.744722,-73.981202,432
Nom Wah Tu,$$,4.0,10002,40.71534,-73.9914,9
Szechuan Gourmet,$$,3.5,10018,40.75236,-73.98355,814
Wu Liang Ye,$$,3.5,10036,40.7578086853027,-73.9799423217773,427
Spicy Village,$,4.0,10002,40.71695,-73.99327,395
The Tang,$$,4.0,10009,40.72703,-73.98539,168
Lotus Blue,$$,3.5,10003,40.736070750946,-73.9917466058785,6
Hunan Manor,$$,3.5,10016,40.74965,-73.97707,197
Xi'an Famous Foods,$,4.0,10025,40.79847,-73.96934,267
Radiance,$$,4.0,10022,40.7555779423723,-73.9703503944427,117
Legend 72,$$,3.0,10023,40.77796,-73.9796901,146
Spice Symphony,$$,4.0,10022,40.7558937072754,-73.9715347290039,86
Little Alley,$$,4.0,10016,40.74744,-73.97728,81
Pa Pa Thai Cuisine,$,4.5,10022,40.7593778206059,-73.9624154842934,56
Ningbo Cafe,$$,4.0,10280,40.708141,-74.017791,78
Sun Hing Lung Co,$,4.5,10002,40.7129253167705,-73.9949862286448,103
Vanessa's Dumpling House,$,4.0,10002,40.71839,-73.9917399,2093
Land of Plenty,$$,3.5,10022,40.76063,-73.96664,239
Xi'an Famous Foods,$,4.0,10012,40.7209700345993,-73.9961278438568,104
21 Shanghai House,$$,4.0,10002,40.7140138244835,-73.9964454932541,319
Carma East,$$,4.0,10009,40.7254099,-73.98327,112
